userName,screenName,userID,userLocation,user_descrip,user_url,followers,friends,user_ctime,source,post_time,tweet_id,tweet_text,favorite_count,retweet_count
Caltrans HQ,CaltransHQ,524855895,"Sacramento, CA",Official account of the CA Dept of Transportation. Inquiries responded to during business hours. Report emergencies to 911. Road Closures: https://t.co/P0xVu0Jlf3,https://t.co/EN0UCrqSWe,44448,1002,2012-03-15 00:03:33+00:00,Twitter for iPhone,2022-09-26 23:51:28+00:00,1574547231557853184,"RT @NWS: At 5:30pm ET today, NOAA's National Hurricane Center will host a special Hurricane #Ian briefing on YouTube Live. Watch here: http…",0,272
WDON RADIO,RichFM39517086,1529421373,"Laguna Beach, Ca",WDON RADIO ~ # ROCK # BLUES # POP $ LEGENDARY MONEY!!,http://t.co/PVih046n9c,2821,5001,2013-06-19 01:58:01+00:00,Twitter Web App,2022-09-26 23:51:28+00:00,1574547231109435393,RT @zoom_earth: Category 2 Hurricane #Ian satellite view from today east of the Yucatán Peninsula. Forecast to intensify into a category 4…,0,12
Michael Jameson,SpecialReportCA,1525292963189796864,Southern California,"Michael Jameson
Special Report CA MLB
https://t.co/unBoVP0Hvb 
The State of the Union & Our Democracy https://t.co/Dax9rXHpEx Books under Ameen Joher",https://t.co/pXHF5W6L8l,69,297,2022-05-14 01:52:52+00:00,Twitter for Android,2022-09-26 23:51:26+00:00,1574547225677484033,"RT @LucasFoxNews: All “non-mission essential” personnel told to evacuate Air Force base in Tampa, Fla. home to U.S. Special Operations and…",0,44
WDON RADIO,RichFM39517086,1529421373,"Laguna Beach, Ca",WDON RADIO ~ # ROCK # BLUES # POP $ LEGENDARY MONEY!!,http://t.co/PVih046n9c,2821,5001,2013-06-19 01:58:01+00:00,Twitter Web App,2022-09-26 23:51:26+00:00,1574547222045544449,RT @zoom_earth: Latest satellite view of Hurricane #Ian near the Cayman Islands. Maximum wind speeds over 80 mph. #HurricaneIan #HuracánIan…,0,10
Tyler Metcalf,tymetwx,739895069503852545,"Keyser, WV",- 21 Year Old Male - Remote Meteorologist/Graphic Consultant @ Wesley Star/Mental Health Advocate/Psychology/Neuroscience Geek,,1507,3773,2016-06-06 19:01:46+00:00,Twitter for Android,2022-09-26 23:51:25+00:00,1574547221722300427,"RT @Jackson_Dill: Satellite image of large Hurricane #Ian over the northwestern Caribbean Sea today.

Tomorrow, we'll likely see a visible…",0,3
Météo des Cyclones,meteo_cyclones,767881432626626560,Antilles françaises ,Cette page est destinée à suivre l'actualité mais aussi les almanachs historiques des cyclones sur le bassin Atlantique🌀,https://t.co/X5NEdBcSA2,1877,241,2016-08-23 00:29:34+00:00,Twitter for Android,2022-09-26 23:51:25+00:00,1574547218769510403,RT @philklotzbach: #Ian is now a Category 2 #hurricane with max winds of 100 mph - the third Cat. 2+ hurricane to form in the Atlantic sinc…,0,47
Meli Rubirosa-Skillz,MeliSkillz,1523061590983122949,Another Galaxy 🪐,𝑇ℎ𝑎𝑛𝑘𝑠 𝑓𝑜𝑟 𝑣𝑖𝑠𝑖𝑡𝑖𝑛𝑔． 𝐵𝑦𝑒,https://t.co/9GhcNAX8QD,78,90,2022-05-07 22:06:05+00:00,Twitter for iPhone,2022-09-26 23:51:24+00:00,1574547215372124172,36hrs before Hurricane Ian comes wooop 😈,2,0
WDON RADIO,RichFM39517086,1529421373,"Laguna Beach, Ca",WDON RADIO ~ # ROCK # BLUES # POP $ LEGENDARY MONEY!!,http://t.co/PVih046n9c,2821,5001,2013-06-19 01:58:01+00:00,Twitter Web App,2022-09-26 23:51:23+00:00,1574547212603883520,RT @zoom_earth: Category 1 Hurricane #Ian near the Cayman Islands last night. Winds up to 75 mph. #HurricaneIan #HuracánIan https://t.co/Bo…,0,15
Taylor,hihiitstaylor,1035243274347454469,,Creating Magic and Happiness Daily✨,https://t.co/MynWeHVwZQ,43,495,2018-08-30 19:10:05+00:00,Twitter for iPhone,2022-09-26 23:51:20+00:00,1574547200163602432,RT @madteamichelle: hurricane Ian is coming? he doesn’t have a park reservation,0,374
Dee 💯 🇺🇸 ☠️,Derameth,16385605,,Strong conservative!.  #Vets #BacktheBlue #2nd Deus vult! Memento Mori! Semper ut præpararentur ad bellum estote parati in proelium (Derameth™) @Derametg on TS,,47433,35717,2008-09-21 00:50:50+00:00,Twitter for iPhone,2022-09-26 23:51:19+00:00,1574547195570683904,RT @spann: Ian will be a slow moving hurricane just west of Tampa Bay Wednesday/Thursday. The slow motion will likely prolong the storm sur…,0,76
Gerald Webb,GeraldW90076948,1199174067779076096,"California, USA","ex Navy, from NJ originally. Live in Southern California. Degrees in Radiologic Technology,  and computer information systems. Paralegal Certificate",,193,434,2019-11-26 03:52:57+00:00,Twitter for Android,2022-09-26 23:51:19+00:00,1574547194203369475,RT @7Veritas4: Hurricane Ian is projected to be the worst disaster to hit Florida since its current governor.,0,1645
Eve🍎🐍#PardonRealityWinner⚖️ 🗽Littlepage🎃🎂,EveLittlepage,1278701004,United States,We're All #CelestialBodiesInOrbit ~Orbit Wisely #MeToo #EndCitizensUnited #EndElectoralCollege #TurnFloridaBlue2022 #ValDemings 4 US Sen #CharlieCrist 4 FL Gov,,4167,5000,2013-03-18 20:47:30+00:00,Twitter Web App,2022-09-26 23:51:19+00:00,1574547193188401154,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
My Girl,MyGirl65946148,1262203168152334337,,,,2,7,2020-05-18 02:08:44+00:00,Twitter for Android,2022-09-26 23:51:18+00:00,1574547191816912922,"RT @OccupyDemocrats: BREAKING: President Biden does what Trump never would, puts politics aside and pledges all “federal resources” necessa…",0,7031
WDON RADIO,RichFM39517086,1529421373,"Laguna Beach, Ca",WDON RADIO ~ # ROCK # BLUES # POP $ LEGENDARY MONEY!!,http://t.co/PVih046n9c,2821,5001,2013-06-19 01:58:01+00:00,Twitter Web App,2022-09-26 23:51:18+00:00,1574547190080770049,RT @zoom_earth: Today’s view of Tropical Storm #Ian in the Caribbean. This system may develop into a category 4 major hurricane. https://t.…,0,9
MMBBDomains,DomainsMmbb,1192488797063307264,United States,"Politics, business, & entertainment domains.",https://t.co/8TxGHm1Kuh,154,115,2019-11-07 17:07:48+00:00,Twitter for Android,2022-09-26 23:51:17+00:00,1574547187052134400,"Risk Projections dot com, Risk Estimates dot com, and Risk Estimations dot com are on the market

#Ian #HurricaneIan #Hurricane",0,0
Lasker Mitchell,mitchdr64,2924434050,"Centralia, WA","Staying well, staying healthy, and staying very blessed...and inspired",,94,143,2014-12-09 20:30:52+00:00,Twitter for Android,2022-09-26 23:51:17+00:00,1574547186498805760,"RT @louiseamd: Good Morning everyone &amp; happy Monday! Hope your day goes well, &amp; for those in the oncoming path of Hurricane Ian- please be…",0,4
WDON RADIO,RichFM39517086,1529421373,"Laguna Beach, Ca",WDON RADIO ~ # ROCK # BLUES # POP $ LEGENDARY MONEY!!,http://t.co/PVih046n9c,2821,5001,2013-06-19 01:58:01+00:00,Twitter Web App,2022-09-26 23:51:16+00:00,1574547180916215808,RT @zoom_earth: Tropical Storm #Ian this morning in the Caribbean. Forecast to develop into a category 4 major hurricane. https://t.co/tOkk…,0,20
🇺🇸 that’s the ideah,IdeahAgency,65680589,"Louisiana, USA",Fan of all things C L E V E R💡Passionate #MadeInUSA Apparel Biz Owner 🇺🇸 25yrs CREATIVE MKTG + DESIGN👩‍💻WannaBChef👩‍🍳#NoParty #LiveFree 👨‍👩‍👧‍👦🐶🦎,,269,1673,2009-08-14 17:01:44+00:00,Twitter for iPhone,2022-09-26 23:51:16+00:00,1574547180341559296,"RT @ABC: The International Space Station flew over Hurricane Ian as the intensifying storm approaches the western tip of Cuba.

Ian is on a…",0,61
Marty,martybeetsphoto,124412467,"Auckland, New Zealand",,https://t.co/b48QLmiokF,761,871,2010-03-19 09:32:51+00:00,Twitter Web App,2022-09-26 23:51:15+00:00,1574547178542215168,"RT @EpochTVus: A new poll finds that the majority of democrats don’t want #JoeBiden to be their 2024 nominee, we look at how the #WhiteHous…",0,3
Stephanie Harding,hardinsj,162411543,,,,222,181,2010-07-03 15:49:08+00:00,Twitter for iPhone,2022-09-26 23:51:15+00:00,1574547177057107969,RT @CharlieCrist: Karla and I offer our thoughts and prayers to the people of Cuba and those with family there as Hurricane Ian makes landf…,0,1366
RadarOmega,RadarOmega,1016409968642330626,,"iOS: https://t.co/gBID4W5maF

Android: https://t.co/MjccwxoC07

Need Support?  https://t.co/f8wQQMWi1d",https://t.co/w2KyEgPQhB,33837,130,2018-07-09 19:53:15+00:00,Twitter Web App,2022-09-26 23:51:14+00:00,1574547172309205008,Here's a look at the severe weather outlook for the Florida panhandle over the next three days ahead of Hurricane #Ian's arrival. A marginal risk is in place this evening as a tornado or two appear possible tonight across the Florida Keys (1/3): #FLwx https://t.co/0jxwe0koBB,20,6
Haven Hughes - Reporter,haven_karkfox,1557016314736263175,,News Reporter for KARK 4 & FOX 16,,109,41,2022-08-09 14:50:00+00:00,Twitter for iPhone,2022-09-26 23:51:13+00:00,1574547169817788431,"Hurricane Ian is coming quickly, and expected to bring devastation to the state of Florida. Arkansas Linemen are happy to help and hit the road this morning. 

Link below to full broadcast. https://t.co/LAbQznqC4g",3,0
